MODEL COMPARISON SUMMARY
============================================================

Model                      | Mode       | Accuracy (%) | Excluded/Total  | Word Count     
----------------------------------------------------------------------
llavaonevision_0.5B        | 0-shot     | 6.94         | 0/1038          | 4.57      
llavaonevision_7B          | 0-shot     | 2.89         | 0/1038          | 4.57      
MedVLM-R1                  | 0-shot     | 2.89         | 0/1038          | 4.57      
llavamed_7B                | 0-shot     | 0.00         | 0/1038          | 4.57      
llama33textonly (baseline) | 0-shot     | 0.00         | 0/1038          | 4.57      
llava_7B                   | 0-shot     | 0.00         | 0/1038          | 4.57      
llavanext_7B               | 0-shot     | 0.00         | 0/1038          | 4.57      
llava_13B                  | 0-shot     | 0.00         | 0/1038          | 4.57      
medgemma_4b                | 0-shot     | 0.00         | 0/1038          | 4.57      
qwen3B                     | 0-shot     | 0.00         | 0/1038          | 4.57      
llama32_vision_90b         | 0-shot     | 0.00         | 0/1038          | 4.57      
qwen7B                     | 0-shot     | 0.00         | 0/1038          | 4.57      
gpt-4o                     | 0-shot     | 0.00         | 0/1038          | 4.57      
qwen32B                    | 0-shot     | 0.00         | 0/1038          | 4.57      
qwen72B                    | 0-shot     | 0.00         | 0/1038          | 4.57      
----------------------------------------------------------------------
qwen7B                     | ICL        | 35.36        | 0/1038          | 4.57      
qwen3B                     | ICL        | 28.03        | 0/1038          | 4.57      
llama32_vision_90b         | ICL        | 27.46        | 0/1038          | 4.57      
llavaonevision_7B          | ICL        | 25.72        | 0/1038          | 4.57      
random (baseline)          | ICL        | 25.34        | 0/1038          | 4.57      
qwen32B                    | ICL        | 25.24        | 0/1038          | 4.57      
qwen72B                    | ICL        | 24.37        | 0/1038          | 4.57      
MedVLM-R1                  | ICL        | 24.28        | 0/1038          | 4.57      
llava_13B                  | ICL        | 21.10        | 0/1038          | 4.57      
llava_7B                   | ICL        | 20.52        | 0/1038          | 4.57      
majority (baseline)        | ICL        | 17.53        | 0/1038          | 4.57      
llavaonevision_0.5B        | ICL        | 14.26        | 0/1038          | 4.57      
medgemma_4b                | ICL        | 13.29        | 0/1038          | 4.57      
gpt-4o                     | ICL        | 7.80         | 0/1038          | 4.57      
llama33textonly (baseline) | ICL        | 3.56         | 0/1038          | 4.57      
llavanext_7B               | ICL        | 3.56         | 0/1038          | 4.57      
llavamed_7B                | ICL        | 0.19         | 0/1038          | 4.57      


PER-PROBLEM ACCURACY COMPARISON (%) - 0-shot
------------------------------------------------------------
Problem ID   | llavamed_7B  | llama33textonly (baseline) | llava_7B     | llavanext_7B | llava_13B    | llavaonevision_0.5B | llavaonevision_7B | MedVLM-R1    | medgemma_4b  | qwen3B       | llama32_vision_90b | qwen7B       | gpt-4o       | qwen32B      | qwen72B     
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_4 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_5 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_6 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_7 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_8 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
cae3a3c3-4917-421d-b4a5-360767f459cd_perm_9 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
d2fa6150-282c-459e-8110-12496e7d201b_perm_1 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00
d2fa6150-282c-459e-8110-12496e7d201b_perm_2 | 100.00       | 100.00       | 100.00       | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
d5ce402d-6bfb-48bf-8f2a-f0c1fa5d09f8_perm_1 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d5ce402d-6bfb-48bf-8f2a-f0c1fa5d09f8_perm_2 | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d5ce402d-6bfb-48bf-8f2a-f0c1fa5d09f8_perm_3 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d5ce402d-6bfb-48bf-8f2a-f0c1fa5d09f8_perm_4 | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d5ce402d-6bfb-48bf-8f2a-f0c1fa5d09f8_perm_5 | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
d5ce402d-6bfb-48bf-8f2a-f0c1fa5d09f8_perm_6 | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_1 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_10 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_11 | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_12 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_13 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_14 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_15 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_16 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_17 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_18 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_19 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_2 | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_20 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_21 | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_22 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_23 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_24 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_3 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_4 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_5 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_6 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_7 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_8 | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
d9c89c56-9588-4c36-9ee7-bac43ceb1047_perm_9 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_1 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_10 | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_11 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_12 | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_13 | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_14 | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_15 | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_16 | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_17 | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_18 | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_19 | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_2 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_20 | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_21 | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_22 | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_23 | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_24 | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_3 | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_4 | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_5 | 0.00         | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_6 | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 100.00       | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_7 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_8 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 0.00
da35a3de-fa23-4c20-905e-5b82b8d5d23a_perm_9 | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 0.00         | 100.00       | 100.00       | 100.00       | 0.00         | 0.00         | 100.00       | 0.00         | 0.00         | 100.00       | 0.00
